song,listeners,streams,saves,release_date
"Brío",9316,33545,454,2017-03-31
"Cherokee",7804,19907,347,2018-10-19
"Señorita Ley D",6491,19640,357,2024-05-17
"Te Tengo y No Te Tengo",5189,15671,409,2022-03-25
"Se Acabó el Amor",4372,13683,293,2023-03-31
"Biutiful",2610,8857,137,2020-05-08
"Quién Contra el Amor",2260,7315,124,2024-11-01
"La Jaula",1793,6348,102,2018-06-15
"Nunca Me Olvides",1789,5580,123,2024-11-01
"Te Vas",1464,4584,68,2018-03-16
"Quiero Sentirlo Otra Vez",1729,4491,136,2024-11-01
"Lo Que Nadie Pudo",1305,4322,61,2020-12-04
"Quemarlo Todo",1071,3976,199,2024-11-01
"Tinta y Piel - Live",1192,3589,39,2015-02-18
"Temporal",1218,3178,143,2024-11-01
"La Mar",739,2613,51,2019-03-01
"Boicot",571,1735,30,2019-05-31
"El Ojo de la Tormenta",500,1354,19,2021-04-30
"Oro",521,1341,26,2022-03-08
"Se Acabó El Amor - JUANPORDIOS! Remix",467,1190,27,2023-10-12
"Se Acabó El Amor",352,1055,17,2023-10-12
"Se Acabó El Amor - TIME PILOTS Remix",335,730,11,2023-10-12
"Se Acabó El Amor - Lafrench Toast Remix",259,532,6,2023-10-12
